Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
2.3020830154418945,0.0,0.0,0.0,0.0,0.0,0.0
2.322916984558105,0.020833969116210493,0.0,0.0,0.0,0.0,0.0
2.5625,0.23958301544189498,0.0,0.0,0.0,0.0,0.0
2.291666984558105,0.0,-0.270833015441895,0.0,0.0,0.0,0.0
2.135416984558105,0.0,-0.15625,0.0,0.0,0.0,0.0
2.4375,0.302083015441895,0.0,0.0,0.0,0.0,0.0
2.3333330154418945,0.0,-0.10416698455810547,0.0,0.0,0.0,0.0
2.21875,0.0,-0.11458301544189453,0.0,0.0,0.0,0.0
2.15625,0.0,-0.0625,0.0,0.0,0.0,0.0
2.182291984558105,0.026041984558105025,0.0,0.0,0.0,0.0,0.0
2.135416984558105,0.0,-0.046875,0.0,0.0,0.0,0.0
2.291666984558105,0.15625,0.0,0.0,0.0,0.0,0.0
2.260416984558105,0.0,-0.03125,0.0,0.0,0.0,0.0
2.229166984558105,0.0,-0.03125,0.0,0.0,0.0,0.0
2.322916984558105,0.09375,0.0,0.0,0.0,0.0,0.0
2.479166984558105,0.15625,0.0,0.07105657032557897,0.05840771538870678,1.2165613712622265,54.88507501010237
2.447916984558105,0.0,-0.03125,0.06956842967442108,0.060639858245849644,1.147239318937269,53.42857262436266
2.3958330154418945,0.0,-0.05208396911621049,0.052455357142857144,0.06436014175415039,0.8150286141884462,44.90444987022257
2.416666984558105,0.020833969116210493,0.0,0.053943497794015034,0.04501492636544361,1.1983469073366202,54.511274054942604
2.3125,0.0,-0.10416698455810502,0.053943497794015034,0.04129471097673682,1.306305251159255,56.640605162852836
2.2083330154418945,0.0,-0.10416698455810547,0.0323661395481654,0.048735209873744356,0.6641222974521827,39.908262660080474
2.25,0.04166698455810547,0.0,0.03534235273088721,0.04129471097673682,0.8558566435008386,46.11652772308821
2.1770830154418945,0.0,-0.07291698455810547,0.03534235273088721,0.038318565913609035,0.9223297346400742,47.97978817160448
2.291666984558105,0.1145839691162105,0.0,0.04352692195347368,0.033854280199323315,1.285713998265534,56.24999449805054
2.328125,0.036458015441894975,0.0,0.04427092415945867,0.033854280199323315,1.307690605111243,56.666634695954194
2.197916984558105,0.0,-0.13020801544189498,0.04427092415945867,0.03980663844517296,1.1121492768206118,52.65486152071194
2.197916984558105,0.0,0.0,0.03311020987374439,0.03980663844517296,0.8317760847690823,45.408174704603034
2.15625,0.0,-0.041666984558105025,0.03311020987374439,0.04055070877075189,0.816513715233157,44.94949354832447
2.1145830154418945,0.0,-0.04166698455810547,0.03311020987374439,0.04129477909633085,0.801801355965755,44.49998626713177
2.041666984558105,0.0,-0.0729160308837895,0.026413781302315816,0.04650306701660153,0.5680008437483518,36.224524113809096
2.166666984558105,0.125,0.0,0.02418163844517296,0.04650306701660153,0.5200009374981687,34.21056689307437
2.166666984558105,0.0,0.0,0.02418163844517296,0.04427092415945867,0.5462194183720569,35.32612589661731
2.1145830154418945,0.0,-0.05208396911621049,0.02418163844517296,0.04427092415945867,0.5462194183720569,35.32612589661731
2.125,0.010416984558105469,0.0,0.023437568119594028,0.04427092415945867,0.5294122172641949,34.61540396291622
2.21875,0.09375,0.0,0.0301339966910226,0.03683042526245117,0.8181821544630489,45.00001017250534
2.34375,0.125,0.0,0.03906256811959403,0.029389926365443637,1.329114188102335,57.065222258821144
2.3177080154418945,0.0,-0.02604198455810547,0.03608635493687221,0.03125006811959403,1.1547608408010412,53.591137305602516
2.375,0.05729198455810547,0.0,0.04017863954816546,0.026041712079729353,1.5428570681203473,60.67415614754984
2.338541984558105,0.0,-0.036458015441894975,0.031994070325578994,0.02864585603986471,1.1168830242341083,52.7607341288118
2.354166984558105,0.015625,0.0,0.030505997794015065,0.02864585603986471,1.0649358061271308,51.57234442674807
2.3333330154418945,0.0,-0.020833969116210493,0.030505997794015065,0.020833424159458675,1.4642815103519553,59.42022062823588
2.5520830154418945,0.21875,0.0,0.04613099779401507,0.020833424159458675,2.2142782406256982,68.88881655107313
2.5,0.0,-0.05208301544189453,0.04613099779401507,0.021577426365443637,2.1379286395292305,68.13184380923252
3.0,0.5,0.0,0.08184528350830078,0.01860121318272182,4.3999970703160765,81.481471434549
3.2395830154418945,0.23958301544189453,0.0,0.09895835603986468,0.01339292526245114,7.388853002660119,88.0794192044741
3.3020830154418945,0.0625,0.0,0.09449407032557897,0.01339292526245114,7.055521364739169,87.5861542075076
3.15625,0.0,-0.14583301544189453,0.09449407032557897,0.023809569222586462,3.968743383897055,79.87418703809803
3.6875,0.53125,0.0,0.13244049889700754,0.020089285714285716,6.592593722873263,86.82927025335988
3.09375,0.0,-0.59375,0.13169642857142858,0.0625,2.107142857142857,67.816091954023
3.354166984558105,0.260416984558105,0.0,0.1436012131827218,0.0625,2.2976194109235486,69.67509359365596
3.40625,0.052083015441894975,0.0,0.13839285714285715,0.0625,2.2142857142857144,68.88888888888889
3.291666984558105,0.0,-0.11458301544189498,0.13839285714285715,0.06882435934884211,2.0108121376241397,66.78637011244714
3.9479169845581055,0.6562500000000004,0.0,0.18117557253156394,0.06882435934884211,2.632433839496568,72.47024875920125
4.5,0.5520830154418945,0.0,0.2206100736345564,0.06622021538870675,3.3314611307075186,76.91310230373334
4.625,0.125,0.0,0.2284225736345564,0.06622021538870675,3.4494386992512225,77.52525503569055
4.375,0.0,-0.25,0.2284225736345564,0.08258921759469172,2.765767497102889,73.4449882854072
4.078125,0.0,-0.296875,0.2127975736345564,0.10379457473754886,2.0501801194583487,67.21505088763152
